"","Constituency","Candidate","election","total_stops","courtesy_call","rally","interaction","official_business"
"1","Abetifi","Nana Addo Dankwa Akuffo Addo",2020,3,1,0,0,2
"2","Abirem","John Mahama",2020,1,0,1,0,0
"3","Abirem","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"4","Ablekuma Central","John Mahama",2020,1,0,1,0,0
"5","Ablekuma Central","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"6","Ablekuma Central","Nana Addo Dankwa Akuffo Addo",2020,4,0,0,2,2
"7","Ablekuma North","John Mahama",2016,1,0,1,0,0
"8","Ablekuma North","Nana Addo Dankwa Akuffo Addo",2016,2,0,1,1,0
"9","Ablekuma North","Nana Addo Dankwa Akuffo Addo",2020,3,0,2,1,0
"10","Ablekuma South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"11","Ablekuma South","Nana Addo Dankwa Akuffo Addo",2020,5,0,4,0,1
"12","Ablekuma West","John Mahama",2020,1,0,1,0,0
"13","Ablekuma West","Nana Addo Dankwa Akuffo Addo",2016,3,0,3,0,0
"14","Ablekuma West","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,1,0
"15","Abokobi Madina","John Mahama",2020,3,3,0,0,0
"16","Abokobi Madina","Nana Addo Dankwa Akuffo Addo",2016,4,2,1,1,0
"17","Abokobi Madina","Nana Addo Dankwa Akuffo Addo",2020,2,1,0,0,1
"18","Abuakwa North","John Mahama",2020,1,0,0,1,0
"19","Abuakwa North","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
"20","Abuakwa South","Nana Addo Dankwa Akuffo Addo",2020,2,1,1,0,0
"21","Abura Asebu-Kwamankese","John Mahama",2016,1,0,0,1,0
"22","Abura Asebu-Kwamankese","John Mahama",2020,4,1,2,1,0
"23","Abura Asebu-Kwamankese","Nana Addo Dankwa Akuffo Addo",2016,4,0,4,0,0
"24","Achiase","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"25","Ada","John Mahama",2020,1,0,0,1,0
"26","Adaklu","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"27","Adansi Asokwa","John Mahama",2020,1,0,0,1,0
"28","Adansi Asokwa","Nana Addo Dankwa Akuffo Addo",2016,2,0,2,0,0
"29","Adenta","John Mahama",2020,3,2,1,0,0
"30","Adenta","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"31","Adenta","Nana Addo Dankwa Akuffo Addo",2020,1,0,0,0,1
"32","Afadjato South","John Mahama",2020,2,2,0,0,0
"33","Afadjato South","Nana Addo Dankwa Akuffo Addo",2016,1,0,1,0,0
"34","Afadjato South","Nana Addo Dankwa Akuffo Addo",2020,1,0,1,0,0
